Np, t (s), ?v, alpha, bu 
1.91E+17,168828300,3.75E+15,0.883903337,114
1.78E+17,170309250,3.60E+15,0.891093401,115
1.48E+17,171790200,3.44E+15,0.897972925,116
2.00E+17,173271150,3.29E+15,0.904545432,117
1.47E+17,174752100,3.13E+15,0.91081511,118
1.47E+17,176233050,2.99E+15,0.916786776,119
1.51E+17,177714000,2.84E+15,0.922465834,120
1.15E+17,179194950,2.70E+15,0.927858234,121
1.14E+17,180675900,2.56E+15,0.932970425,122
1.39E+17,182156850,2.42E+15,0.937809315,123
9.23E+16,183637800,2.29E+15,0.94238222,124
9.50E+16,185118750,2.16E+15,0.946696821,125
1.02E+17,186599700,2.03E+15,0.950761118,126
8.75E+16,188080650,1.91E+15,0.954583381,127
9.56E+16,189561600,1.79E+15,0.958172105,128
7.40E+16,191042550,1.68E+15,0.961535966,129
5.91E+16,192523500,1.57E+15,0.964683775,130
5.61E+16,194004450,1.47E+15,0.967624438,131
6.07E+16,195485400,1.37E+15,0.97036691,132
7.11E+16,196966350,1.28E+15,0.972920162,133
6.44E+16,198447300,1.19E+15,0.975293135,134
6.17E+16,199928250,1.10E+15,0.977494712,135
4.87E+16,201409200,1.02E+15,0.97953368,136
4.30E+16,202890150,9.43E+14,0.981418701,137
4.34E+16,204371100,8.70E+14,0.983158283,138
4.35E+16,205852050,8.01E+14,0.984760755,139
3.45E+16,207333000,7.37E+14,0.98623424,140
3.08E+16,208813950,6.76E+14,0.98758664,141
3.05E+16,210294900,6.19E+14,0.988825613,142
2.17E+16,211775850,5.66E+14,0.989958558,143
2.17E+16,213256800,5.17E+14,0.990992606,144
2.91E+16,214737750,4.71E+14,0.991934604,145
2.19E+16,216218700,4.28E+14,0.99279111,146
2.08E+16,217699650,3.89E+14,0.993568386,147
1.85E+16,219180600,3.52E+14,0.994272395,148
1.62E+16,220661550,3.18E+14,0.994908798,149
1.52E+16,222142500,2.87E+14,0.995482954,150
