Bu,fission rate density (fiss/m3-s),"irradiation time, t (s)","restructured volume fraction, ? (/)",v,"re-solution rate, b (1/s)",NPNUM,Np
142,2E+19,210294900,0.988825613,6.19486E+14,0.0116,5.34043E+16,0
143,2E+19,211775850,0.989958558,5.66473E+14,0.0116,4.88341E+16,0
144,2E+19,213256800,0.990992606,5.17024E+14,0.0116,4.45713E+16,0
145,2E+19,214737750,0.991934604,4.70999E+14,0.0116,4.06036E+16,0
146,2E+19,216218700,0.99279111,4.28253E+14,0.0116,3.69186E+16,0
147,2E+19,217699650,0.993568386,3.88638E+14,0.0116,3.35035E+16,0
148.9833641,2E+19,220636913.1,0.994898734,3.35377E+14,0.0116,2.89119E+16,0.24672288
149,2E+19,220661550,0.994908798,3.02465E+14,0.0116,2.60844E+16,0
150,2E+19,222142500,0.995482954,2.87078E+14,0.0116,2.47482E+16,0
151,2E+19,223623450,0.995999926,2.58486E+14,0.0116,2.22834E+16,0
152,2E+19,225104400,0.996464477,2.32275E+14,0.0116,2.00239E+16,0
153.1885397,2E+19,226864567.9,0.996954603,2.06189E+14,0.0116,1.7775E+16,0.172115264
154,2E+19,228066300,0.99725393,1.84437E+14,0.0116,1.58999E+16,0
155,2E+19,229547250,0.997586936,1.66503E+14,0.0116,1.43538E+16,0
156,2E+19,231028200,0.997883743,1.48403E+14,0.0116,1.27935E+16,0
157,2E+19,232509150,0.998147736,1.31997E+14,0.0116,1.13791E+16,0
158,2E+19,233990100,0.998382051,1.17158E+14,0.0116,1.00999E+16,0
159,2E+19,235471050,0.998589587,1.03768E+14,0.0116,8.94556E+15,0
160,2E+19,236952000,0.998773012,9.17126E+13,0.0116,7.90632E+15,0
161,2E+19,238432950,0.998934781,8.08844E+13,0.0116,6.97284E+15,0
162,2E+19,239913900,0.999077142,7.11806E+13,0.0116,6.13631E+15,0
163,2E+19,241394850,0.999202151,6.25048E+13,0.0116,5.38839E+15,0
164,2E+19,242875800,0.999311684,5.47662E+13,0.0116,4.72126E+15,0
165,2E+19,244356750,0.999407443,4.78797E+13,0.0116,4.1276E+15,0
166,2E+19,245837700,0.999490975,4.17661E+13,0.0116,3.60056E+15,0
167,2E+19,247318650,0.999563678,3.63515E+13,0.0116,3.13378E+15,0
168,2E+19,248799600,0.999626813,3.15675E+13,0.0116,2.72136E+15,0
169,2E+19,250280550,0.999681515,2.73507E+13,0.0116,2.35784E+15,0
170,2E+19,251761500,0.999728801,2.3643E+13,0.0116,2.0382E+15,0
171,2E+19,253242450,0.999769582,2.03907E+13,0.0116,1.75783E+15,0
172,2E+19,254723400,0.999804672,1.75449E+13,0.0116,1.51251E+15,0
173,2E+19,256204350,0.999834794,1.5061E+13,0.0116,1.29837E+15,0
174.5378928,2E+19,258481892.3,0.999872879,1.23822E+13,0.0116,1.06744E+15,0.0469324
175,2E+19,259166250,0.99988263,1.05509E+13,0.0116,9.09578E+14,0
176,2E+19,260647200,0.999901415,9.3925E+12,0.0116,8.09705E+14,0
177,2E+19,262128150,0.999917388,7.98619E+12,0.0116,6.88472E+14,0
178,2E+19,263609100,0.999930935,6.77397E+12,0.0116,5.83969E+14,0
179,2E+19,265090050,0.999942399,5.73172E+12,0.0116,4.94119E+14,0
180,2E+19,266571000,0.999952075,4.83791E+12,0.0116,4.17065E+14,0
181,2E+19,268051950,0.999960221,4.07336E+12,0.0116,3.51155E+14,0
182,2E+19,269532900,0.999967064,3.42108E+12,0.0116,2.94924E+14,0
183,2E+19,271013850,0.999972796,2.86604E+12,0.0116,2.47075E+14,0
184,2E+19,272494800,0.999977586,2.39498E+12,0.0116,2.06466E+14,0
185,2E+19,273975750,0.999981578,1.99625E+12,0.0116,1.72092E+14,0
186,2E+19,275456700,0.999984897,1.65963E+12,0.0116,1.43073E+14,0
187,2E+19,276937650,0.99998765,1.37622E+12,0.0116,1.18641E+14,0
188,2E+19,278418600,0.999989926,1.13823E+12,0.0116,9.81248E+13,0
