 N , t ,v, alpha, bu ,b, dsf
5.26E+13,207333000,7.37E+14,0.98623424,140,14,5.26E+13
4.80E+13,208813950,6.76E+14,0.98758664,141,14.1,4.80E+13
4.36E+13,210294900,6.19E+14,0.988825613,142,14.2,4.36E+13
3.96E+13,211775850,5.66E+14,0.989958558,143,14.3,3.96E+13
3.59E+13,213256800,5.17E+14,0.990992606,144,14.4,3.59E+13
3.25E+13,214737750,4.71E+14,0.991934604,145,14.5,3.25E+13
2.93E+13,216218700,4.28E+14,0.99279111,146,14.6,2.93E+13
2.64E+13,217699650,3.89E+14,0.993568386,147,14.7,2.64E+13
2.38E+13,219180600,3.52E+14,0.994272395,148,14.8,2.38E+13
2.14E+13,220661550,3.18E+14,0.994908798,149,14.9,2.14E+13
1.91E+13,222142500,2.87E+14,0.995482954,150,15,1.91E+13
