oil ,water,air,epshori,Xo,Xw,Xa,epsarm,difference ,S,1-X/X,eps(homoge,epsminephom,armandnew,epsminarmand,,,,,,
0.36,0.66,0.38,0.26,0.257142857142857,0.471428571428572,0.271428571428571,0.607142857142857,-0.347142857142857,0.372549019607843,2.68421052631579,0.271428571428571,-0.0114285714285715,0.2261,0.0339,,,,,,horizontal 
0.36,0.66,1.24,0.48,0.15929203539823,0.292035398230089,0.548672566371682,0.376106194690265,0.103893805309735,1.2156862745098,0.82258064516129,0.548672566371682,-0.0686725663716815,0.457044247787611,0.0229557522123893,,,,,,
0.36,0.66,2.1,0.57,0.115384615384615,0.211538461538462,0.673076923076923,0.272435897435897,0.297564102564103,2.05882352941177,0.485714285714286,0.673076923076923,-0.103076923076923,0.560673076923077,0.00932692307692307,,,,,,
0.36,0.88,0.38,0.22,0.222222222222222,0.54320987654321,0.234567901234568,0.637860082304527,-0.417860082304527,0.306451612903226,3.26315789473684,0.234567901234568,-0.0145679012345679,0.195395061728395,0.024604938271605,,,,,,
0.36,0.88,1.24,0.43,0.145161290322581,0.354838709677419,0.5,0.416666666666667,0.0133333333333333,1,1,0.5,-0.07,0.4165,0.0135,#VALUE!,,,,,
0.36,0.88,2.1,0.53,0.107784431137725,0.263473053892216,0.62874251497006,0.30938123752495,0.22061876247505,1.69354838709677,0.59047619047619,0.62874251497006,-0.09874251497006,0.52374251497006,0.00625748502994006,,,,,,
0.36,1.05,0.38,0.19,0.201117318435754,0.58659217877095,0.212290502793296,0.656424581005587,-0.466424581005587,0.269503546099291,3.71052631578947,0.212290502793296,-0.0222905027932961,0.176837988826816,0.0131620111731844,,,,,,
0.36,1.05,1.24,0.4,0.135849056603774,0.39622641509434,0.467924528301887,0.443396226415094,-0.0433962264150944,0.879432624113475,1.13709677419355,0.467924528301887,-0.0679245283018867,0.389781132075472,0.0102188679245284,,,,,,
0.36,1.05,2.1,0.5,0.102564102564103,0.299145299145299,0.598290598290598,0.334757834757835,0.165242165242165,1.48936170212766,0.671428571428572,0.598290598290598,-0.0982905982905983,0.498376068376068,0.00162393162393165,,,,,,
0.36,1.32,0.38,0.16,0.174757281553398,0.640776699029126,0.184466019417476,0.679611650485437,-0.519611650485437,0.226190476190476,4.42105263157895,0.184466019417476,-0.0244660194174758,0.153660194174757,0.00633980582524271,,,,,,
0.36,1.32,1.24,0.36,0.123287671232877,0.452054794520548,0.424657534246575,0.479452054794521,-0.119452054794521,0.738095238095238,1.35483870967742,0.424657534246575,-0.0646575342465754,0.353739726027397,0.0062602739726027,,,,,,
0.36,1.32,2.1,0.46,0.0952380952380952,0.349206349206349,0.555555555555556,0.37037037037037,0.0896296296296297,1.25,0.8,0.555555555555556,-0.0955555555555556,0.462777777777778,-0.00277777777777777,,,,,,
0.48,0.66,0.38,0.23,0.315789473684211,0.43421052631579,0.25,0.625,-0.395,0.333333333333333,3,0.25,-0.02,0.20825,0.02175,,,,,,
0.48,0.66,1.24,0.45,0.201680672268908,0.277310924369748,0.521008403361345,0.399159663865546,0.0508403361344538,1.08771929824561,0.919354838709677,0.521008403361345,-0.0710084033613446,0.434,0.016,,,,,,
0.48,0.66,2.1,0.55,0.148148148148148,0.203703703703704,0.648148148148148,0.29320987654321,0.25679012345679,1.84210526315789,0.542857142857143,0.648148148148148,-0.0981481481481481,0.539907407407407,0.0100925925925927,,,,,,
0.48,0.88,0.38,0.2,0.275862068965517,0.505747126436782,0.218390804597701,0.651340996168582,-0.451340996168582,0.279411764705882,3.57894736842105,0.218390804597701,-0.0183908045977012,0.181919540229885,0.0180804597701149,,,,,,
0.48,0.88,1.24,0.41,0.184615384615385,0.338461538461539,0.476923076923077,0.435897435897436,-0.0258974358974359,0.911764705882353,1.09677419354839,0.476923076923077,-0.066923076923077,0.397276923076923,0.0127230769230769,,,,,,
0.48,0.88,2.1,0.51,0.138728323699422,0.254335260115607,0.606936416184971,0.327552986512524,0.182447013487476,1.54411764705882,0.647619047619047,0.606936416184971,-0.0969364161849711,0.505578034682081,0.00442196531791916,,,,,,
0.48,1.05,0.38,0.18,0.25130890052356,0.549738219895288,0.198952879581152,0.667539267015707,-0.487539267015707,0.248366013071895,4.02631578947369,0.198952879581152,-0.0189528795811518,0.165727748691099,0.0142722513089006,,,,,,
0.48,1.05,1.24,0.38,0.173285198555957,0.379061371841155,0.447653429602888,0.46028880866426,-0.08028880866426,0.810457516339869,1.23387096774194,0.447653429602888,-0.067653429602888,0.372895306859206,0.00710469314079432,,,,,,
0.48,1.05,2.1,0.48,0.132231404958678,0.289256198347108,0.578512396694215,0.351239669421488,0.128760330578512,1.37254901960784,0.728571428571428,0.578512396694215,-0.098512396694215,0.481900826446281,-0.00190082644628103,,,,,,
0.48,1.32,0.38,0.15,0.220183486238532,0.605504587155963,0.174311926605505,0.688073394495413,-0.538073394495413,0.211111111111111,4.73684210526316,0.174311926605505,-0.0243119266055046,0.145201834862385,0.00479816513761469,,,,,,
0.48,1.32,1.24,0.35,0.157894736842105,0.43421052631579,0.407894736842105,0.493421052631579,-0.143421052631579,0.688888888888889,1.45161290322581,0.407894736842105,-0.0578947368421053,0.339776315789474,0.0102236842105263,,,,,,
0.48,1.32,2.1,0.45,0.123076923076923,0.338461538461538,0.538461538461538,0.384615384615385,0.0653846153846153,1.16666666666667,0.857142857142857,0.538461538461538,-0.0884615384615384,0.448538461538462,0.00146153846153851,,,,,,
0.6,0.66,0.38,0.21,0.365853658536585,0.402439024390244,0.231707317073171,0.640243902439024,-0.430243902439024,0.301587301587302,3.31578947368421,0.231707317073171,-0.0217073170731707,0.193012195121951,0.0169878048780488,,,,,,
