oil ,water,air,epshori,Xo,Xw,Xa,epsarm,difference ,S,1-X/X,eps(homoge,epsminephom,armandnew,epsminarmand,,,,,,
0.71,0.66,0.38,0.2,0.405714285714286,0.377142857142857,0.217142857142857,0.652380952380952,-0.452380952380952,0.277372262773723,3.60526315789474,0.217142857142857,-0.0171428571428571,0.18088,0.01912,,,,,,
0.71,0.66,1.24,0.41,0.272030651340996,0.252873563218391,0.475095785440613,0.437420178799489,-0.0274201787994892,0.905109489051095,1.10483870967742,0.475095785440613,-0.065095785440613,0.395754789272031,0.0142452107279694,,,,,,
0.71,0.66,2.1,0.51,0.204610951008646,0.190201729106628,0.605187319884726,0.329010566762728,0.180989433237272,1.53284671532847,0.652380952380953,0.605187319884726,-0.0951873198847262,0.504121037463977,0.00587896253602316,,,,,,
0.71,0.88,0.38,0.17,0.360406091370558,0.446700507614213,0.192893401015228,0.67258883248731,-0.50258883248731,0.238993710691824,4.18421052631579,0.192893401015228,-0.0228934010152284,0.160680203045685,0.00931979695431473,,,,,,
0.71,0.88,1.24,0.37,0.250883392226148,0.31095406360424,0.438162544169611,0.468197879858657,-0.0981978798586572,0.779874213836478,1.28225806451613,0.438162544169611,-0.0681625441696113,0.364989399293286,0.00501060070671378,,,,,,
0.71,0.88,2.1,0.48,0.192411924119241,0.238482384823848,0.569105691056911,0.359078590785908,0.120921409214092,1.32075471698113,0.757142857142857,0.569105691056911,-0.0891056910569106,0.474065040650407,0.00593495934959348,,,,,,
0.71,1.05,0.38,0.16,0.331775700934579,0.490654205607477,0.177570093457944,0.685358255451714,-0.525358255451713,0.215909090909091,4.63157894736842,0.177570093457944,-0.0175700934579439,0.147915887850467,0.0120841121495327,,,,,,
0.71,1.05,1.24,0.35,0.236666666666667,0.35,0.413333333333333,0.488888888888889,-0.138888888888889,0.704545454545455,1.41935483870968,0.413333333333333,-0.0633333333333334,0.344306666666667,0.00569333333333333,,,,,,
0.71,1.05,2.1,0.45,0.183937823834197,0.272020725388601,0.544041450777202,0.379965457685665,0.070034542314335,1.19318181818182,0.838095238095238,0.544041450777202,-0.094041450777202,0.453186528497409,-0.00318652849740925,,,,,,
0.71,1.32,0.38,0.14,0.294605809128631,0.547717842323651,0.157676348547718,0.701936376210235,-0.561936376210235,0.187192118226601,5.3421052631579,0.157676348547718,-0.0176763485477178,0.131344398340249,0.00865560165975107,,,,,,
0.71,1.32,1.24,0.32,0.217125382262997,0.403669724770642,0.379204892966361,0.517329255861366,-0.197329255861366,0.610837438423645,1.63709677419355,0.379204892966361,-0.0592048929663608,0.315877675840979,0.00412232415902147,,,,,,
0.71,1.32,2.1,0.42,0.171912832929782,0.319612590799031,0.508474576271186,0.409604519774011,0.0103954802259887,1.03448275862069,0.966666666666667,0.508474576271186,-0.0884745762711864,0.423559322033898,-0.0035593220338983,,,,,,
