N , t ,v, alpha, bu 
2.56E+16,180675900,2.56E+15,0.932970425,122
2.42E+16,182156850,2.42E+15,0.937809315,123
2.29E+16,183637800,2.29E+15,0.94238222,124
2.16E+16,185118750,2.16E+15,0.946696821,125
2.03E+16,186599700,2.03E+15,0.950761118,126
1.91E+16,188080650,1.91E+15,0.954583381,127
1.79E+16,189561600,1.79E+15,0.958172105,128
1.68E+16,191042550,1.68E+15,0.961535966,129
1.57E+16,192523500,1.57E+15,0.964683775,130
1.47E+16,194004450,1.47E+15,0.967624438,131
1.37E+16,195485400,1.37E+15,0.97036691,132
1.28E+16,196966350,1.28E+15,0.972920162,133
1.19E+16,198447300,1.19E+15,0.975293135,134
1.10E+16,199928250,1.10E+15,0.977494712,135
1.02E+16,201409200,1.02E+15,0.97953368,136
9.43E+15,202890150,9.43E+14,0.981418701,137
8.70E+15,204371100,8.70E+14,0.983158283,138
8.01E+15,205852050,8.01E+14,0.984760755,139
7.37E+15,207333000,7.37E+14,0.98623424,140
6.76E+15,208813950,6.76E+14,0.98758664,141
6.19E+15,210294900,6.19E+14,0.988825613,142
5.66E+15,211775850,5.66E+14,0.989958558,143
5.17E+15,213256800,5.17E+14,0.990992606,144
4.71E+15,214737750,4.71E+14,0.991934604,145
4.28E+15,216218700,4.28E+14,0.99279111,146
3.89E+15,217699650,3.89E+14,0.993568386,147
3.52E+15,219180600,3.52E+14,0.994272395,148
3.18E+15,220661550,3.18E+14,0.994908798,149
2.87E+15,222142500,2.87E+14,0.995482954,150
