 N , t ,v, alpha, bu , N ,x (/),N`,y (/),, t ,N`,,
3.44E+16,171790200,3.44E+15,0.897972925,116,3.44E+16,0.66 ,200244251.42 ,,,171790200,8.55 ,0.656565657,0.40 
3.29E+16,173271150,3.29E+15,0.904545432,117,3.29E+16,0.67 ,189875810.25 ,,,173271150,8.52 ,0.666666667,0.39 
3.13E+16,174752100,3.13E+15,0.91081511,118,3.13E+16,0.68 ,179110866.19 ,,,174752100,8.49 ,0.676767677,0.38 
2.99E+16,176233050,2.99E+15,0.916786776,119,2.99E+16,0.69 ,169661706.47 ,,,176233050,8.47 ,0.686868687,0.37 
2.84E+16,177714000,2.84E+15,0.922465834,120,2.84E+16,0.70 ,159807330.88 ,,,177714000,8.44 ,0.696969697,0.37 
2.70E+16,179194950,2.70E+15,0.927858234,121,2.70E+16,0.71 ,150673888.97 ,,,179194950,8.41 ,0.707070707,0.36 
2.56E+16,180675900,2.56E+15,0.932970425,122,2.56E+16,0.72 ,141690175.61 ,,,180675900,8.38 ,0.717171717,0.35 
2.42E+16,182156850,2.42E+15,0.937809315,123,2.42E+16,0.73 ,132852538.90 ,,,182156850,8.35 ,0.727272727,0.34 
2.29E+16,183637800,2.29E+15,0.94238222,124,2.29E+16,0.74 ,124701994.91 ,,,183637800,8.32 ,0.737373737,0.33 
2.16E+16,185118750,2.16E+15,0.946696821,125,2.16E+16,0.75 ,116681859.62 ,,,185118750,8.29 ,0.747474747,0.32 
2.03E+16,186599700,2.03E+15,0.950761118,126,2.03E+16,0.76 ,108789028.06 ,,,186599700,8.26 ,0.757575758,0.31 
1.91E+16,188080650,1.91E+15,0.954583381,127,1.91E+16,0.77 ,101552179.88 ,,,188080650,8.22 ,0.767676768,0.30 
1.79E+16,189561600,1.79E+15,0.958172105,128,1.79E+16,0.78 ,94428407.44 ,,,189561600,8.19 ,0.777777778,0.29 
1.68E+16,191042550,1.68E+15,0.961535966,129,1.68E+16,0.79 ,87938524.69 ,,,191042550,8.16 ,0.787878788,0.28 
1.57E+16,192523500,1.57E+15,0.964683775,130,1.57E+16,0.80 ,81548486.29 ,,,192523500,8.12 ,0.797979798,0.27 
1.47E+16,194004450,1.47E+15,0.967624438,131,1.47E+16,0.81 ,75771457.82 ,,,194004450,8.09 ,0.808080808,0.25 
1.37E+16,195485400,1.37E+15,0.97036691,132,1.37E+16,0.82 ,70081960.08 ,,,195485400,8.05 ,0.818181818,0.24 
1.28E+16,196966350,1.28E+15,0.972920162,133,1.28E+16,0.83 ,64985719.64 ,,,196966350,8.02 ,0.828282828,0.23 
1.19E+16,198447300,1.19E+15,0.975293135,134,1.19E+16,0.84 ,59965542.49 ,,,198447300,7.98 ,0.838383838,0.22 
1.10E+16,199928250,1.10E+15,0.977494712,135,1.10E+16,0.85 ,55019738.33 ,,,199928250,7.94 ,0.848484848,0.21 
1.02E+16,201409200,1.02E+15,0.97953368,136,1.02E+16,0.86 ,50643168.24 ,,,201409200,7.90 ,0.858585859,0.20 
9.43E+15,202890150,9.43E+14,0.981418701,137,9.43E+15,0.87 ,46478352.94 ,,,202890150,7.86 ,0.868686869,0.18 
8.70E+15,204371100,8.70E+14,0.983158283,138,8.70E+15,0.88 ,42569619.68 ,,,204371100,7.82 ,0.878787879,0.17 
8.01E+15,205852050,8.01E+14,0.984760755,139,8.01E+15,0.89 ,38911441.49 ,,,205852050,7.78 ,0.888888889,0.16 
7.37E+15,207333000,7.37E+14,0.98623424,140,7.37E+15,0.90 ,35546680.94 ,,,207333000,7.74 ,0.898989899,0.14 
6.76E+15,208813950,6.76E+14,0.98758664,141,6.76E+15,0.91 ,32373316.05 ,,,208813950,7.70 ,0.909090909,0.13 
6.19E+15,210294900,6.19E+14,0.988825613,142,6.19E+15,0.92 ,29434855.53 ,,,210294900,7.66 ,0.919191919,0.12 
5.66E+15,211775850,5.66E+14,0.989958558,143,5.66E+15,0.93 ,26726371.30 ,,,211775850,7.61 ,0.929292929,0.10 
5.17E+15,213256800,5.17E+14,0.990992606,144,5.17E+15,0.94 ,24243072.20 ,,,213256800,7.57 ,0.939393939,0.09 
4.71E+15,214737750,4.71E+14,0.991934604,145,4.71E+15,0.95 ,21933730.79 ,,,214737750,7.52 ,0.949494949,0.08 
4.28E+15,216218700,4.28E+14,0.99279111,146,4.28E+15,0.96 ,19794772.61 ,,,216218700,7.48 ,0.95959596,0.06 
3.89E+15,217699650,3.89E+14,0.993568386,147,3.89E+15,0.97 ,17868655.28 ,,,217699650,7.43 ,0.96969697,0.05 
3.52E+15,219180600,3.52E+14,0.994272395,148,3.52E+15,0.98 ,16059815.51 ,,,219180600,7.38 ,0.97979798,0.03 
3.18E+15,220661550,3.18E+14,0.994908798,149,3.18E+15,0.99 ,14411210.29 ,,,220661550,7.34 ,0.98989899,0.02 
2.87E+15,222142500,2.87E+14,0.995482954,150,2.87E+15,1.00 ,12919634.92 ,,,222142500,7.29 ,1,0.00 
