Bu,fission rate density (fiss/m3-s),"irradiation time, t (s)","restructured volume fraction, a (/)","nucleation rate, ? (pores/m3-s)",,Np
95,2.00E+19,1.41E+08,0.689355431,6.45508E+15,,
96.25693161,2.00E+19,1.43E+08,0.705281612,6.33534E+15,,0.509294757
97,2.00E+19,1.44E+08,0.714529789,6.22296E+15,,
98,2.00E+19,1.45E+08,0.726769501,6.11986E+15,,
99,2.00E+19,1.47E+08,0.738762409,5.99645E+15,,
100,2.00E+19,1.48E+08,0.750498072,5.86783E+15,,
101,2.00E+19,1.50E+08,0.761966827,5.73438E+15,,
102.7264325,2.00E+19,1.52E+08,0.781113233,5.54508E+15,,0.585794568
103.0499076,2.00E+19,1.53E+08,0.784605891,5.39865E+15,,0.515261876
103.6968577,2.00E+19,1.54E+08,0.791499517,5.32779E+15,,0.632131001
104.9907579,2.00E+19,1.55E+08,0.804914106,5.18378E+15,,0.452771014
105,2.00E+19,1.55E+08,0.805008115,5.08588E+15,,
106,2.00E+19,1.57E+08,0.815026245,5.00907E+15,,
107,2.00E+19,1.58E+08,0.824737022,4.85539E+15,,
108,2.00E+19,1.60E+08,0.834136736,4.69986E+15,,
109.5194085,2.00E+19,1.62E+08,0.847817239,4.50192E+15,,0.313676045
110.8133087,2.00E+19,1.64E+08,0.858891409,4.27938E+15,,0.430537721
111,2.00E+19,1.64E+08,0.860445406,4.16194E+15,,
112,2.00E+19,1.66E+08,0.868581041,4.06782E+15,,
113,2.00E+19,1.67E+08,0.876399912,3.90944E+15,,
114,2.00E+19,1.69E+08,0.883903337,3.75171E+15,,
115,2.00E+19,1.70E+08,0.891093401,3.59503E+15,,0
116.3123845,2.00E+19,1.72E+08,0.900058864,3.41572E+15,,0.341809412
117,2.00E+19,1.73E+08,0.904545432,3.26241E+15,,0
118,2.00E+19,1.75E+08,0.91081511,3.13484E+15,,0
119,2.00E+19,1.76E+08,0.916786776,2.98583E+15,,0
120,2.00E+19,1.78E+08,0.922465834,2.83953E+15,,
121,2.00E+19,1.79E+08,0.927858234,2.6962E+15,,
122,2.00E+19,1.81E+08,0.932970425,2.5561E+15,,
123,2.00E+19,1.82E+08,0.937809315,2.41944E+15,,
124,2.00E+19,1.84E+08,0.94238222,2.28645E+15,,
125,2.00E+19,1.85E+08,0.946696821,2.1573E+15,,
126.663586,2.00E+19,1.88E+08,0.953324012,1.99184E+15,,0.430355206
127,2.00E+19,1.88E+08,0.954583381,1.87175E+15,,
128,2.00E+19,1.90E+08,0.958172105,1.79436E+15,,
129,2.00E+19,1.91E+08,0.961535966,1.68193E+15,,
130,2.00E+19,1.93E+08,0.964683775,1.5739E+15,,
131,2.00E+19,1.94E+08,0.967624438,1.47033E+15,,
132,2.00E+19,1.95E+08,0.97036691,1.37124E+15,,
133,2.00E+19,1.97E+08,0.972920162,1.27663E+15,,
134,2.00E+19,1.98E+08,0.975293135,1.18649E+15,,
135,2.00E+19,2.00E+08,0.977494712,1.10079E+15,,
136,2.00E+19,2.01E+08,0.97953368,1.01948E+15,,
137.0147874,2.00E+19,2.03E+08,0.981445463,9.41963E+14,,0.311344325
138,2.00E+19,2.04E+08,0.983158283,8.69264E+14,,
139,2.00E+19,2.06E+08,0.984760755,8.01236E+14,,
140,2.00E+19,2.07E+08,0.98623424,7.36743E+14,,
141,2.00E+19,2.09E+08,0.98758664,6.762E+14,,
142,2.00E+19,2.10E+08,0.988825613,6.19486E+14,,
143,2.00E+19,2.12E+08,0.989958558,5.66473E+14,,
144,2.00E+19,2.13E+08,0.990992606,5.17024E+14,,
145,2.00E+19,2.15E+08,0.991934604,4.70999E+14,,
146,2.00E+19,2.16E+08,0.99279111,4.28253E+14,,
147,2.00E+19,2.18E+08,0.993568386,3.88638E+14,,
148.9833641,2.00E+19,2.21E+08,0.994898734,3.35377E+14,,0.24672288
149,,#DIV/0!,0.994908798,3.02465E+14,,
150,,#DIV/0!,0.995482954,2.87078E+14,,
151,,#DIV/0!,0.995999926,2.58486E+14,,
152,,#DIV/0!,0.996464477,2.32275E+14,,
153.1885397,,#DIV/0!,0.996954603,2.06189E+14,,0.172115264
154,,#DIV/0!,0.99725393,1.84437E+14,,
155,,#DIV/0!,0.997586936,1.66503E+14,,
156,,#DIV/0!,0.997883743,1.48403E+14,,
157,,#DIV/0!,0.998147736,1.31997E+14,,
158,,#DIV/0!,0.998382051,1.17158E+14,,
159,,#DIV/0!,0.998589587,1.03768E+14,,
160,,#DIV/0!,0.998773012,9.17126E+13,,
161,,#DIV/0!,0.998934781,8.08844E+13,,
162,,#DIV/0!,0.999077142,7.11806E+13,,
163,,#DIV/0!,0.999202151,6.25048E+13,,
164,,#DIV/0!,0.999311684,5.47662E+13,,
165,,#DIV/0!,0.999407443,4.78797E+13,,
166,,#DIV/0!,0.999490975,4.17661E+13,,
167,,#DIV/0!,0.999563678,3.63515E+13,,
168,,#DIV/0!,0.999626813,3.15675E+13,,
169,,#DIV/0!,0.999681515,2.73507E+13,,
170,,#DIV/0!,0.999728801,2.3643E+13,,
171,,#DIV/0!,0.999769582,2.03907E+13,,
172,,#DIV/0!,0.999804672,1.75449E+13,,
173,,#DIV/0!,0.999834794,1.5061E+13,,
174.5378928,,#DIV/0!,0.999872879,1.23822E+13,,0.0469324
175,,#DIV/0!,0.99988263,1.05509E+13,,
176,,#DIV/0!,0.999901415,9.3925E+12,,
177,,#DIV/0!,0.999917388,7.98619E+12,,
178,,#DIV/0!,0.999930935,6.77397E+12,,
179,,#DIV/0!,0.999942399,5.73172E+12,,
180,,#DIV/0!,0.999952075,4.83791E+12,,
181,,#DIV/0!,0.999960221,4.07336E+12,,
182,,#DIV/0!,0.999967064,3.42108E+12,,
183,,#DIV/0!,0.999972796,2.86604E+12,,
184,,#DIV/0!,0.999977586,2.39498E+12,,
185,,#DIV/0!,0.999981578,1.99625E+12,,
186,,#DIV/0!,0.999984897,1.65963E+12,,
187,,#DIV/0!,0.99998765,1.37622E+12,,
188,,#DIV/0!,0.999989926,1.13823E+12,,
189,,#DIV/0!,0.999991804,9.38942E+11,,
190,,#DIV/0!,0.999993349,7.72505E+11,,
191,,#DIV/0!,0.999994617,6.33884E+11,,
192,,#DIV/0!,0.999995654,5.1875E+11,,
193,,#DIV/0!,0.999996501,4.23388E+11,,
194,,#DIV/0!,0.99999719,3.44621E+11,,
195,,#DIV/0!,0.99999775,2.79744E+11,,
196,,#DIV/0!,0.999998203,2.26459E+11,,
197,,#DIV/0!,0.999998569,1.82817E+11,,
198,,#DIV/0!,0.999998863,1.47176E+11,,
199,,#DIV/0!,0.999999099,1.18153E+11,,
200,,#DIV/0!,0.999999288,94585667021,,
201,,#DIV/0!,0.999999439,75505117214,,
202,,#DIV/0!,0.99999956,60101935706,,
203.0036969,,#DIV/0!,0.999999655,47684129397,,0.020408144
204,,#DIV/0!,0.99999973,37737054027,,
