 N , t ,v, alpha, bu 
7.81044E+14,74047500,3.91E+15,0.127291468,50
8.11194E+14,75528450,4.06E+15,0.135403409,51
8.41366E+14,77009400,4.21E+15,0.143817069,52
8.71498E+14,78490350,4.36E+15,0.152532053,53
9.01528E+14,79971300,4.51E+15,0.161547329,54
9.31388E+14,81452250,4.66E+15,0.170861213,55
9.61014E+14,82933200,4.81E+15,0.180471356,56
9.90337E+14,84414150,4.95E+15,0.19037473,57
1.01929E+15,85895100,5.10E+15,0.200567617,58
1.0478E+15,87376050,5.24E+15,0.211045598,59
1.0758E+15,88857000,5.38E+15,0.221803551,60
1.10321E+15,90337950,5.52E+15,0.232835644,61
1.12997E+15,91818900,5.65E+15,0.244135333,62
1.156E+15,93299850,5.78E+15,0.255695364,63
1.18124E+15,94780800,5.91E+15,0.267507775,64
1.20561E+15,96261750,6.03E+15,0.279563905,65
1.22905E+15,97742700,6.15E+15,0.291854401,66
1.25148E+15,99223650,6.26E+15,0.304369228,67
1.27285E+15,100704600,6.36E+15,0.317097689,68
1.29308E+15,102185550,6.47E+15,0.330028439,69
1.31211E+15,103666500,6.56E+15,0.34314951,70
1.32988E+15,105147450,6.65E+15,0.35644833,71
1.34634E+15,106628400,6.73E+15,0.369911753,72
1.36143E+15,108109350,6.81E+15,0.38352609,73
1.3751E+15,109590300,6.88E+15,0.397277139,74
1.38731E+15,111071250,6.94E+15,0.411150224,75
1.398E+15,112552200,6.99E+15,0.425130233,76
1.40714E+15,114033150,7.04E+15,0.439201654,77
1.4147E+15,115514100,7.07E+15,0.453348627,78
1.42064E+15,116995050,7.10E+15,0.467554985,79
1.42493E+15,118476000,7.12E+15,0.4818043,80
1.42756E+15,119956950,7.14E+15,0.496079941,81
1.42852E+15,121437900,7.14E+15,0.510365116,82
1.42778E+15,122918850,7.14E+15,0.524642932,83
1.42535E+15,124399800,7.13E+15,0.538896448,84
1.42123E+15,125880750,7.11E+15,0.553108729,85
1.41542E+15,127361700,7.08E+15,0.567262904,86
1.40793E+15,128842650,7.04E+15,0.581342219,87
1.39879E+15,130323600,6.99E+15,0.5953301,88
1.38801E+15,131804550,6.94E+15,0.609210203,89
1.37563E+15,133285500,6.88E+15,0.622966474,90
1.36167E+15,134766450,6.81E+15,0.6365832,91
1.34619E+15,136247400,6.73E+15,0.650045069,92
1.32921E+15,137728350,6.65E+15,0.663337215,93
1.31081E+15,139209300,6.55E+15,0.676445274,94
1.29102E+15,140690250,6.46E+15,0.689355431,95
1.2699E+15,142171200,6.35E+15,0.702054464,96
1.24753E+15,143652150,6.24E+15,0.714529789,97
1.22397E+15,145133100,6.12E+15,0.726769501,98
1.19929E+15,146614050,6.00E+15,0.738762409,99
1.17357E+15,148095000,5.87E+15,0.750498072,100
1.14688E+15,149575950,5.73E+15,0.761966827,101
1.1193E+15,151056900,5.60E+15,0.773159816,102
1.09092E+15,152537850,5.45E+15,0.784069007,103
1.06182E+15,154018800,5.31E+15,0.794687216,104
1.03209E+15,155499750,5.16E+15,0.805008115,105
1.00181E+15,156980700,5.01E+15,0.815026245,106
9.71078E+14,158461650,4.86E+15,0.824737022,107
9.39971E+14,159942600,4.70E+15,0.834136736,108
9.08581E+14,161423550,4.54E+15,0.843222546,109
8.76993E+14,162904500,4.38E+15,0.851992478,110
8.45293E+14,164385450,4.23E+15,0.860445406,111
8.13564E+14,165866400,4.07E+15,0.868581041,112
7.81887E+14,167347350,3.91E+15,0.876399912,113
7.50342E+14,168828300,3.75E+15,0.883903337,114
7.19006E+14,170309250,3.60E+15,0.891093401,115
6.87952E+14,171790200,3.44E+15,0.897972925,116
6.57251E+14,173271150,3.29E+15,0.904545432,117
6.26968E+14,174752100,3.13E+15,0.91081511,118
5.97167E+14,176233050,2.99E+15,0.916786776,119
5.67906E+14,177714000,2.84E+15,0.922465834,120
5.3924E+14,179194950,2.70E+15,0.927858234,121
5.11219E+14,180675900,2.56E+15,0.932970425,122
4.83889E+14,182156850,2.42E+15,0.937809315,123
4.5729E+14,183637800,2.29E+15,0.94238222,124
4.3146E+14,185118750,2.16E+15,0.946696821,125
4.0643E+14,186599700,2.03E+15,0.950761118,126
3.82226E+14,188080650,1.91E+15,0.954583381,127
3.58872E+14,189561600,1.79E+15,0.958172105,128
3.36386E+14,191042550,1.68E+15,0.961535966,129
3.14781E+14,192523500,1.57E+15,0.964683775,130
2.94066E+14,194004450,1.47E+15,0.967624438,131
2.74247E+14,195485400,1.37E+15,0.97036691,132
2.55325E+14,196966350,1.28E+15,0.972920162,133
2.37297E+14,198447300,1.19E+15,0.975293135,134
2.20158E+14,199928250,1.10E+15,0.977494712,135
2.03897E+14,201409200,1.02E+15,0.97953368,136
1.88502E+14,202890150,9.43E+14,0.981418701,137
1.73958E+14,204371100,8.70E+14,0.983158283,138
1.60247E+14,205852050,8.01E+14,0.984760755,139
1.47349E+14,207333000,7.37E+14,0.98623424,140
1.3524E+14,208813950,6.76E+14,0.98758664,141
1.23897E+14,210294900,6.19E+14,0.988825613,142
1.13295E+14,211775850,5.66E+14,0.989958558,143
1.03405E+14,213256800,5.17E+14,0.990992606,144
9.41998E+13,214737750,4.71E+14,0.991934604,145
8.56506E+13,216218700,4.28E+14,0.99279111,146
7.77276E+13,217699650,3.89E+14,0.993568386,147
7.04009E+13,219180600,3.52E+14,0.994272395,148
6.36403E+13,220661550,3.18E+14,0.994908798,149
5.74157E+13,222142500,2.87E+14,0.995482954,150
